形式,入水口角度,出水口角度,旋轉角度,葉厚,片數,間隙(葉輪與幫浦腳),A(電流),Q(全開流量),揚程,W(瓦數)
1,34,13,64,2.5,6,0.3,0.64,25,9.6,164
1,34,13,64,2.5,6,0.3,0.71,50,8.1,199
1,34,13,64,2.5,6,0.3,0.79,75,5.2,235
1,34,13,64,2.5,6,0.3,0.88,100,1,273
1,34,13,63,2.5,6,0.3,0.65,25,9.3,165
1,34,13,63,2.5,6,0.3,0.72,50,7.5,202
1,34,13,63,2.5,6,0.3,0.8,75.1,4.5,239
1,34,13,63,2.5,6,0.3,0.88,100.1,0.4,272
1,34,13.5,64,2.5,6,0.3,0.64,25,9.7,165
1,34,13.5,64,2.5,6,0.3,0.71,50,8,200
1,34,13.5,64,2.5,6,0.3,0.8,75,5.3,239
1,34,13.5,64,2.5,6,0.3,0.88,100,1.2,274
1,34,14,62,2.5,6,0.3,0.65,25.1,9.8,168
1,34,14,62,2.5,6,0.3,0.72,50,8.2,203
1,34,14,62,2.5,6,0.3,0.81,75.1,5.4,243
1,34,14,62,2.5,6,0.3,0.9,100,1.5,282
1,35,14,64,2.5,6,0.3,0.64,25,9.8,167
1,35,14,64,2.5,6,0.3,0.71,50.1,8.2,200
1,35,14,64,2.5,6,0.3,0.8,75.1,5.4,239
1,35,14,64,2.5,6,0.3,0.89,100.1,1.4,278
1,35,14,65,2.5,6,0.3,0.64,25,9.6,165
1,35,14,65,2.5,6,0.3,0.71,50.1,8,199
1,35,14,65,2.5,6,0.3,0.79,75,5.1,237
1,35,14,65,2.5,6,0.3,0.85,100,0.9,275
1,35,14,66,2.5,6,0.3,0.64,25,9.5,163
1,35,14,66,2.5,6,0.3,0.7,50,7.7,196
1,35,14,66,2.5,6,0.3,0.79,75,4.7,234
1,35,14,66,2.5,6,0.3,0.87,100,0.5,269
1,35,15,64,2.5,6,0.3,0.64,25,9.7,165
1,35,15,64,2.5,6,0.3,0.71,50,8.1,201
1,35,15,64,2.5,6,0.3,0.78,75,5.2,239
1,35,15,64,2.5,6,0.3,0.89,100,1,278
1,35,14,64,2,6,0.3,0.6,25,9.4,162
1,35,14,64,2,6,0.3,0.7,50,7.5,199
1,35,14,64,2,6,0.3,0.8,75,4.6,236
1,35,14,64,2,6,0.3,0.9,100.1,0.5,272
1,35,16,66,2,6,0.3,0.6,25,9.4,163
1,35,16,66,2,6,0.3,0.7,50,7.5,199
1,35,16,66,2,6,0.3,0.8,75,4.6,240
1,35,16,66,2,6,0.3,0.88,100,0.5,276
1,36,17,64,2.5,6,0.3,0.65,25,9.8,169
1,36,17,64,2.5,6,0.3,0.72,50,8.2,206
1,36,17,64,2.5,6,0.3,0.8,75,5.4,243
1,36,17,64,2.5,6,0.3,0.9,100,1.3,284
1,33,13,62,3,6,0.3,0.64,25,9.5,165
1,33,13,62,3,6,0.3,0.71,50,7.8,199
1,33,13,62,3,6,0.3,0.8,75,5,238
1,33,13,62,3,6,0.3,0.89,100,0.9,276
1,34,14,62,3,6,0.3,0.64,25,9.5,164
1,34,14,62,3,6,0.3,0.71,50,7.8,200
1,34,14,62,3,6,0.3,0.8,75,4.8,237
1,34,14,62,3,6,0.3,0.88,100,0.8,276
1,34.6,14,64,3,6,0.3,0.65,25.1,9.4,166
1,34.6,14,64,3,6,0.3,0.72,50,8,201
1,34.6,14,64,3,6,0.3,0.8,75,5,239
1,34.6,14,64,3,6,0.3,0.89,100,0.8,276
1,32,11,64,2.5,6,0.25,0.63,25,9.3,155
1,32,11,64,2.5,6,0.25,0.72,50.1,7.9,198
1,32,11,64,2.5,6,0.25,0.81,75,5,239
1,32,11,64,2.5,6,0.25,0.89,100,0.8,275
1,32,11,64,2.5,6,0.3,0.62,25.1,9.3,154
1,32,11,64,2.5,6,0.3,0.71,50,7.8,196
1,32,11,64,2.5,6,0.3,0.79,75.1,4.9,237
1,32,11,64,2.5,6,0.3,0.88,100,0.8,272
1,41,11,70,3,6,0.25,0.71,25,9.9,183
1,41,11,70,3,6,0.25,0.77,50.1,8.1,216
1,41,11,70,3,6,0.25,0.86,75,5.5,253
1,41,11,70,3,6,0.25,0.94,100,1.7,289
1,41,11,70,3,6,0.3,0.69,25,9.8,181
1,41,11,70,3,6,0.3,0.76,50.1,8,215
1,41,11,70,3,6,0.3,0.84,75,5.5,249
1,41,11,70,3,6,0.3,0.92,100.1,1.6,285
1,41,11,70,3,6,0.25,0.71,25,9.8,186
1,41,11,70,3,6,0.25,0.79,50,8.3,221
1,41,11,70,3,6,0.25,0.86,75.1,5.5,263
1,41,11,70,3,6,0.25,0.94,100,1.7,289
1,41,11,71,3,6,0.3,0.69,25,9.8,184
1,41,11,71,3,6,0.3,0.77,50,8.2,220
1,41,11,71,3,6,0.3,0.85,75.1,5.5,260
1,41,11,71,3,6,0.3,0.93,100,1.6,287
1,41,11,72,3,6,0.25,0.71,25,9.9,190
1,41,11,72,3,6,0.25,0.78,50,8.3,227
1,41,11,72,3,6,0.25,0.88,75.1,5.5,264
1,41,11,72,3,6,0.25,0.95,100,1.8,300
1,41,11,72,3,6,0.3,0.69,25,9.9,189
1,41,11,72,3,6,0.3,0.77,50,8.2,225
1,41,11,72,3,6,0.3,0.86,75,5.5,263
1,41,11,72,3,6,0.3,0.94,100,1.8,299
1,41,11,74,3,6,0.25,0.68,25,9.7,183
1,41,11,74,3,6,0.25,0.75,50,8.3,217
1,41,11,74,3,6,0.25,0.83,75,5.6,250
1,41,11,74,3,6,0.25,0.89,100.1,1.8,277
1,41,11,74,3,6,0.3,0.67,25.1,9.7,179
1,41,11,74,3,6,0.3,0.74,50,8.2,212
1,41,11,74,3,6,0.3,0.81,75.1,5.6,245
1,41,11,74,3,6,0.3,0.87,100,1.6,271
1,32,12,64,2.5,6,0.25,0.7,25.1,9.8,187
1,32,12,64,2.5,6,0.25,0.77,50,8.1,222
1,32,12,64,2.5,6,0.25,0.86,75.1,5.5,260
1,32,12,64,2.5,6,0.25,0.94,100,2,295
1,32,12,64,2.5,6,0.3,0.69,25,9.7,185
1,32,12,64,2.5,6,0.3,0.75,50,8.1,220
1,32,12,64,2.5,6,0.3,0.84,75,5.4,258
1,32,12,64,2.5,6,0.3,0.93,100.1,1.8,293
1,32,12,64,3,6,0.25,0.68,25,9.7,178
1,32,12,64,3,6,0.25,0.75,50,8,211
1,32,12,64,3,6,0.25,0.83,75,5.3,248
1,32,12,64,3,6,0.25,0.92,100.1,1.4,285
1,32,12,64,3,6,0.3,0.67,25,9.6,175
1,32,12,64,3,6,0.3,0.73,50.1,8.1,209
1,32,12,64,3,6,0.3,0.81,75.1,5.2,245
1,32,12,64,3,6,0.3,0.9,100,1.4,283
1,31,12,64,3,6,0.25,0.69,25,9.9,181
1,31,12,64,3,6,0.25,0.75,50,8.1,212
1,31,12,64,3,6,0.25,0.83,75,5.5,248
1,31,12,64,3,6,0.25,0.91,100,2,285
1,31,12,64,3,6,0.3,0.67,25.1,9.9,180
1,31,12,64,3,6,0.3,0.74,50,8.1,210
1,31,12,64,3,6,0.3,0.82,75.1,5.4,246
1,31,12,64,3,6,0.3,0.9,100,1.9,284
1,33,13,62,2.5,6,0.25,0.64,25,9.4,165
1,33,13,62,2.5,6,0.25,0.72,50,7.8,198
1,33,13,62,2.5,6,0.25,0.8,75,5,237
1,33,13,62,2.5,6,0.25,0.8,100,1,271
1,33,13,62,2.5,6,0.3,0.63,25,9.4,163
1,33,13,62,2.5,6,0.3,0.7,50,7.7,197
1,33,13,62,2.5,6,0.3,0.78,75,5,235
1,33,13,62,2.5,6,0.3,0.87,100,0.9,270
1,33,13,62,3,6,0.25,0.66,25,9.5,168
1,33,13,62,3,6,0.25,0.72,50,7.8,200
1,33,13,62,3,6,0.25,0.82,75,5.1,240
1,33,13,62,3,6,0.25,0.91,100,0.9,278
1,33,13,62,3,6,0.3,0.64,25,9.5,165
1,33,13,62,3,6,0.3,0.71,50,7.8,199
1,33,13,62,3,6,0.3,0.8,75,5,238
1,33,13,62,3,6,0.3,0.89,100,0.9,276
1,34,13,63,2.5,6,0.25,0.67,25,9.3,166
1,34,13,63,2.5,6,0.25,0.73,50,7.5,203
1,34,13,63,2.5,6,0.25,0.82,75.1,4.5,241
1,34,13,63,2.5,6,0.25,0.89,100.1,0.5,273
1,34,13,63,2.5,6,0.3,0.65,25,9.3,165
1,34,13,63,2.5,6,0.3,0.72,50,7.5,202
1,34,13,63,2.5,6,0.3,0.8,75.1,4.5,239
1,34,13,63,2.5,6,0.3,0.88,100.1,0.4,272
1,34,13,64,2.5,6,0.25,0.65,25,9.6,165
1,34,13,64,2.5,6,0.25,0.73,50.1,8.1,199
1,34,13,64,2.5,6,0.25,0.82,75.2,5.2,238
1,34,13,64,2.5,6,0.25,0.9,100.1,1.1,276
1,34,13,64,2.5,6,0.3,0.64,25,9.6,163
1,34,13,64,2.5,6,0.3,0.71,50,8,198
1,34,13,64,2.5,6,0.3,0.79,75,5.1,236
1,34,13,64,2.5,6,0.3,0.88,100,1,274
1,34,13,64,3,6,0.25,0.65,25.1,9.6,137
1,34,13,64,3,6,0.25,0.73,50.1,8.1,200
1,34,13,64,3,6,0.25,0.8,70.1,5.2,236
1,34,13,64,3,6,0.25,0.88,100,1.1,276
1,34,13,64,3,6,0.3,0.64,25,9.6,164
1,34,13,64,3,6,0.3,0.71,50,8.1,199
1,34,13,64,3,6,0.3,0.79,75,5.2,235
1,34,13,64,3,6,0.3,0.88,100,1,273
1,34,13,63,3,6,0.25,0.67,25.1,9.7,175
1,34,13,63,3,6,0.25,0.73,50.1,8,205
1,34,13,63,3,6,0.25,0.81,75,4.9,243
1,34,13,63,3,6,0.25,0.9,100.1,1,280
1,34,13,63,3,6,0.3,0.66,25,9.7,173
1,34,13,63,3,6,0.3,0.72,50,7.9,204
1,34,13,63,3,6,0.3,0.8,75.1,4.9,242
1,34,13,63,3,6,0.3,0.89,100.1,1,279
1,34,13,67,3,6,0.25,0.71,25.1,10,185
1,34,13,67,3,6,0.25,0.78,50,8.4,220
1,34,13,67,3,6,0.25,0.88,75.1,5.6,259
1,34,13,67,3,6,0.25,0.96,100,1.9,299
1,34,13,67,3,6,0.3,0.7,25,10,184
1,34,13,67,3,6,0.3,0.77,50,8.3,219
1,34,13,67,3,6,0.3,0.86,75,5.6,258
1,34,13,67,3,6,0.3,0.95,100.1,1.9,298
1,34,13,70,3,6,0.25,0.7,25,9.8,185
1,34,13,70,3,6,0.25,0.77,50.1,8.1,217
1,34,13,70,3,6,0.25,0.85,75.1,5.4,254
1,34,13,70,3,6,0.25,0.94,100,1.4,290
1,34,13,70,3,6,0.3,0.69,25.1,9.8,184
1,34,13,70,3,6,0.3,0.76,50,8,216
1,34,13,70,3,6,0.3,0.84,75,5.4,253
1,34,13,70,3,6,0.3,0.93,100.1,1.4,289
1,34,13.5,63,2.5,6,0.25,0.66,25,9.3,165
1,34,13.5,63,2.5,6,0.25,0.73,50,7.6,203
1,34,13.5,63,2.5,6,0.25,0.81,75.1,4.6,241
1,34,13.5,63,2.5,6,0.25,0.89,100,0.5,274
1,34,13.5,63,2.5,6,0.3,0.65,25,9.3,165
1,34,13.5,63,2.5,6,0.3,0.72,50,7.5,202
1,34,13.5,63,2.5,6,0.3,0.8,75.1,4.5,239
1,34,13.5,63,2.5,6,0.3,0.88,100.1,0.4,272
1,34,13.5,63,3,6,0.25,0.65,25,9.2,162
1,34,13.5,63,3,6,0.25,0.71,50,7.5,195
1,34,13.5,63,3,6,0.25,0.79,75,4.5,232
1,34,13.5,63,3,6,0.3,0.64,25,9.2,161
1,34,13.5,63,3,6,0.3,0.7,50,7.5,194
1,34,13.5,63,3,6,0.3,0.78,75,4.5,231
1,34,13.5,64,2.5,6,0.25,0.64,25.1,9.8,166
1,34,13.5,64,2.5,6,0.25,0.72,50,8.1,201
1,34,13.5,64,2.5,6,0.25,0.8,75.1,5.3,240
1,34,13.5,64,2.5,6,0.25,0.89,100,1.2,275
1,34,13.5,64,2.5,6,0.3,0.64,25,9.7,165
1,34,13.5,64,2.5,6,0.3,0.71,50,8,200
1,34,13.5,64,2.5,6,0.3,0.8,75,5.3,239
1,34,13.5,64,2.5,6,0.3,0.88,100,1.2,274
1,34,14,62,2.5,6,0.25,0.65,25,9.8,169
1,34,14,62,2.5,6,0.25,0.73,50,8.2,204
1,34,14,62,2.5,6,0.25,0.82,75,5.5,245
1,34,14,62,2.5,6,0.25,0.91,100,1.5,283
1,34,14,62,2.5,6,0.3,0.65,25.1,9.8,168
1,34,14,62,2.5,6,0.3,0.72,50,8.2,203
1,34,14,62,2.5,6,0.3,0.81,75.1,5.4,243
1,34,14,62,2.5,6,0.3,0.9,100,1.5,282
1,34,14,62,3,6,0.2,0.65,25,9.5,164
1,34,14,62,3,6,0.2,0.72,50,8,200
1,34,14,62,3,6,0.2,0.82,75,5,238
1,34,14,62,3,6,0.2,0.9,100,1.1,279
1,34,14,62,3,6,0.28,0.64,25.1,9.4,163
1,34,14,62,3,6,0.28,0.71,50,7.9,199
1,34,14,62,3,6,0.28,0.8,75,5,237
1,34,14,62,3,6,0.28,0.89,100,1,276
1,34,14,62,3,6,0.25,0.65,25,9.5,165
1,34,14,62,3,6,0.25,0.72,50,7.9,201
1,34,14,62,3,6,0.25,0.81,75,4.8,238
1,34,14,62,3,6,0.25,0.9,100,0.9,277
1,34,14,62,3,6,0.3,0.64,25,9.5,164
1,34,14,62,3,6,0.3,0.71,50,7.8,200
1,34,14,62,3,6,0.3,0.8,75,4.8,237
1,34,14,62,3,6,0.3,0.88,100,0.8,276
1,34,14,63,2.5,6,0.25,0.65,25,9.6,168
1,34,14,63,2.5,6,0.25,0.73,50,8.1,202
1,34,14,63,2.5,6,0.25,0.8,751,5.1,240
1,34,14,63,2.5,6,0.25,0.89,100,1.2,276
1,34,14,63,2.5,6,0.3,0.64,25,9.6,166
1,34,14,63,2.5,6,0.3,0.71,50,8,201
1,34,14,63,2.5,6,0.3,0.79,75,5.1,239
1,34,14,63,2.5,6,0.3,0.88,100,1.1,275
1,35,14,64,2.5,6,0.25,0.64,25,9.8,168
1,35,14,64,2.5,6,0.25,0.72,50.1,8.2,201
1,35,14,64,2.5,6,0.25,0.81,75,5.4,239
1,35,14,64,2.5,6,0.25,0.9,100,1.5,279
1,35,14,64,2.5,6,0.3,0.64,25,9.8,167
1,35,14,64,2.5,6,0.3,0.71,50.1,8.2,200
1,35,14,64,2.5,6,0.3,0.8,75.1,5.4,239
