形式,入水口角度,出水口角度,旋轉角度,葉厚,片數,間隙(葉輪與幫浦腳),A(電流),Q(全開流量),P(全閉壓力),W(瓦數)
1,34,13,64,2.5,6,0.3,0.57,0,10.5,124
1,34,13,64,2.5,6,0.3,0.64,25,9.6,164
1,34,13,64,2.5,6,0.3,0.71,50,8.1,199
1,34,13,64,2.5,6,0.3,0.79,75,5.2,235
1,34,13,64,2.5,6,0.3,0.88,100,1,273
1,34,13,64,2.5,6,0.3,0.9,106.8,0,282
1,34,13,63,2.5,6,0.3,0.58,0,10.3,132
1,34,13,63,2.5,6,0.3,0.65,25,9.3,165
1,34,13,63,2.5,6,0.3,0.72,50,7.5,202
1,34,13,63,2.5,6,0.3,0.8,75.1,4.5,239
1,34,13,63,2.5,6,0.3,0.88,100.1,0.4,272
1,34,13,63,2.5,6,0.3,0.89,104.3,0,276
1,34,13.5,64,2.5,6,0.3,0.57,0,10.5,123
1,34,13.5,64,2.5,6,0.3,0.64,25,9.7,165
1,34,13.5,64,2.5,6,0.3,0.71,50,8,200
1,34,13.5,64,2.5,6,0.3,0.8,75,5.3,239
1,34,13.5,64,2.5,6,0.3,0.88,100,1.2,274
1,34,13.5,64,2.5,6,0.3,0.9,107.2,0,283
1,34,14,62,2.5,6,0.3,0.57,0,10.5,125
1,34,14,62,2.5,6,0.3,0.65,25.1,9.8,168
1,34,14,62,2.5,6,0.3,0.72,50,8.2,203
1,34,14,62,2.5,6,0.3,0.81,75.1,5.4,243
1,34,14,62,2.5,6,0.3,0.9,100,1.5,282
1,34,14,62,2.5,6,0.3,0.93,109.1,0,294
1,35,14,64,2.5,6,0.3,0.57,0,10.6,122
1,35,14,64,2.5,6,0.3,0.64,25,9.8,167
1,35,14,64,2.5,6,0.3,0.71,50.1,8.2,200
1,35,14,64,2.5,6,0.3,0.8,75.1,5.4,239
1,35,14,64,2.5,6,0.3,0.89,100.1,1.4,278
1,35,14,64,2.5,6,0.3,0.92,108.4,0,289
1,35,14,65,2.5,6,0.3,0.57,0,10.4,125
1,35,14,65,2.5,6,0.3,0.64,25,9.6,165
1,35,14,65,2.5,6,0.3,0.71,50.1,8,199
1,35,14,65,2.5,6,0.3,0.79,75,5.1,237
1,35,14,65,2.5,6,0.3,0.85,100,0.9,275
1,35,14,65,2.5,6,0.3,0.91,106.3,0,284
1,35,14,66,2.5,6,0.3,0.57,0,10.3,126
1,35,14,66,2.5,6,0.3,0.64,25,9.5,163
1,35,14,66,2.5,6,0.3,0.7,50,7.7,196
1,35,14,66,2.5,6,0.3,0.79,75,4.7,234
1,35,14,66,2.5,6,0.3,0.87,100,0.5,269
1,35,14,66,2.5,6,0.3,0.88,104,0,274
1,35,15,64,2.5,6,0.3,0.57,0,10.5,123
1,35,15,64,2.5,6,0.3,0.64,25,9.7,165
1,35,15,64,2.5,6,0.3,0.71,50,8.1,201
1,35,15,64,2.5,6,0.3,0.78,75,5.2,239
1,35,15,64,2.5,6,0.3,0.89,100,1,278
1,35,15,64,2.5,6,0.3,0.91,106.8,0,285
1,35,14,64,2,6,0.3,0.6,0,10.1,128
1,35,14,64,2,6,0.3,0.6,25,9.4,162
1,35,14,64,2,6,0.3,0.7,50,7.5,199
1,35,14,64,2,6,0.3,0.8,75,4.6,236
1,35,14,64,2,6,0.3,0.9,100.1,0.5,272
1,35,14,64,2,6,0.3,0.9,104.3,0,278
1,35,16,66,2,6,0.3,0.6,0,10.2,127
1,35,16,66,2,6,0.3,0.6,25,9.4,163
1,35,16,66,2,6,0.3,0.7,50,7.5,199
1,35,16,66,2,6,0.3,0.8,75,4.6,240
1,35,16,66,2,6,0.3,0.88,100,0.5,276
1,35,16,66,2,6,0.3,0.89,104.2,0,281
1,36,17,64,2.5,6,0.3,0.57,0,10.5,128
1,36,17,64,2.5,6,0.3,0.65,25,9.8,169
1,36,17,64,2.5,6,0.3,0.72,50,8.2,206
1,36,17,64,2.5,6,0.3,0.8,75,5.4,243
1,36,17,64,2.5,6,0.3,0.9,100,1.3,284
1,36,17,64,2.5,6,0.3,0.92,107.4,0,292
1,33,13,62,3,6,0.3,0.57,0,10.4,122
1,33,13,62,3,6,0.3,0.64,25,9.5,165
1,33,13,62,3,6,0.3,0.71,50,7.8,199
1,33,13,62,3,6,0.3,0.8,75,5,238
1,33,13,62,3,6,0.3,0.89,100,0.9,276
1,33,13,62,3,6,0.3,0.9,106.6,0,284
1,34,14,62,3,6,0.3,0.57,0,10.4,124
1,34,14,62,3,6,0.3,0.64,25,9.5,164
1,34,14,62,3,6,0.3,0.71,50,7.8,200
1,34,14,62,3,6,0.3,0.8,75,4.8,237
1,34,14,62,3,6,0.3,0.88,100,0.8,276
1,34,14,62,3,6,0.3,0.9,105.9,0,282
1,34.6,14,64,3,6,0.3,0.58,0,10.4,127
1,34.6,14,64,3,6,0.3,0.65,25.1,9.4,166
1,34.6,14,64,3,6,0.3,0.72,50,8,201
1,34.6,14,64,3,6,0.3,0.8,75,5,239
1,34.6,14,64,3,6,0.3,0.89,100,0.8,276
1,34.6,14,64,3,6,0.3,0.9,105.7,0,283
1,32,11,64,2.5,6,0.25,0.57,0,10.4,122
1,32,11,64,2.5,6,0.25,0.63,25,9.3,155
1,32,11,64,2.5,6,0.25,0.72,50.1,7.9,198
1,32,11,64,2.5,6,0.25,0.81,75,5,239
1,32,11,64,2.5,6,0.25,0.89,100,0.8,275
1,32,11,64,2.5,6,0.25,0.91,105.7,0,282
1,32,11,64,2.5,6,0.3,0.56,0,10.4,120
1,32,11,64,2.5,6,0.3,0.62,25.1,9.3,154
1,32,11,64,2.5,6,0.3,0.71,50,7.8,196
1,32,11,64,2.5,6,0.3,0.79,75.1,4.9,237
1,32,11,64,2.5,6,0.3,0.88,100,0.8,272
1,32,11,64,2.5,6,0.3,0.89,105,0,279
1,41,11,70,3,6,0.25,0.64,0,10.5,145
1,41,11,70,3,6,0.25,0.71,25,9.9,183
1,41,11,70,3,6,0.25,0.77,50.1,8.1,216
1,41,11,70,3,6,0.25,0.86,75,5.5,253
1,41,11,70,3,6,0.25,0.94,100,1.7,289
1,41,11,70,3,6,0.25,0.97,109.8,0,298
1,41,11,70,3,6,0.3,0.62,0,10.5,144
1,41,11,70,3,6,0.3,0.69,25,9.8,181
1,41,11,70,3,6,0.3,0.76,50.1,8,215
1,41,11,70,3,6,0.3,0.84,75,5.5,249
1,41,11,70,3,6,0.3,0.92,100.1,1.6,285
1,41,11,70,3,6,0.3,0.95,109.5,0,296
1,41,11,70,3,6,0.25,0.63,0,10.5,149
1,41,11,70,3,6,0.25,0.71,25,9.8,186
1,41,11,70,3,6,0.25,0.79,50,8.3,221
1,41,11,70,3,6,0.25,0.86,75.1,5.5,263
1,41,11,70,3,6,0.25,0.94,100,1.7,289
1,41,11,70,3,6,0.25,0.98,110.6,0,298
1,41,11,71,3,6,0.3,0.61,0,10.5,146
1,41,11,71,3,6,0.3,0.69,25,9.8,184
1,41,11,71,3,6,0.3,0.77,50,8.2,220
1,41,11,71,3,6,0.3,0.85,75.1,5.5,260
1,41,11,71,3,6,0.3,0.93,100,1.6,287
1,41,11,71,3,6,0.3,0.97,110.2,0,297
1,41,11,72,3,6,0.25,0.62,0,10.6,149
1,41,11,72,3,6,0.25,0.71,25,9.9,190
1,41,11,72,3,6,0.25,0.78,50,8.3,227
1,41,11,72,3,6,0.25,0.88,75.1,5.5,264
1,41,11,72,3,6,0.25,0.95,100,1.8,300
1,41,11,72,3,6,0.25,0.99,112.2,0,316
1,41,11,72,3,6,0.3,0.61,0,10.6,148
1,41,11,72,3,6,0.3,0.69,25,9.9,189
1,41,11,72,3,6,0.3,0.77,50,8.2,225
1,41,11,72,3,6,0.3,0.86,75,5.5,263
1,41,11,72,3,6,0.3,0.94,100,1.8,299
1,41,11,72,3,6,0.3,0.98,111.8,0,314
1,41,11,74,3,6,0.25,0.6,0,10.2,144
1,41,11,74,3,6,0.25,0.68,25,9.7,183
1,41,11,74,3,6,0.25,0.75,50,8.3,217
1,41,11,74,3,6,0.25,0.83,75,5.6,250
1,41,11,74,3,6,0.25,0.89,100.1,1.8,277
1,41,11,74,3,6,0.25,0.9,109.8,0,283
1,41,11,74,3,6,0.3,0.6,0,10.2,142
1,41,11,74,3,6,0.3,0.67,25.1,9.7,179
1,41,11,74,3,6,0.3,0.74,50,8.2,212
1,41,11,74,3,6,0.3,0.81,75.1,5.6,245
1,41,11,74,3,6,0.3,0.87,100,1.6,271
1,41,11,74,3,6,0.3,0.88,108.3,0,276
1,32,12,64,2.5,6,0.25,0.62,0,10.6,144
1,32,12,64,2.5,6,0.25,0.7,25.1,9.8,187
1,32,12,64,2.5,6,0.25,0.77,50,8.1,222
1,32,12,64,2.5,6,0.25,0.86,75.1,5.5,260
1,32,12,64,2.5,6,0.25,0.94,100,2,295
1,32,12,64,2.5,6,0.25,0.98,111.4,0,310
1,32,12,64,2.5,6,0.3,0.61,0,10.5,140
1,32,12,64,2.5,6,0.3,0.69,25,9.7,185
1,32,12,64,2.5,6,0.3,0.75,50,8.1,220
1,32,12,64,2.5,6,0.3,0.84,75,5.4,258
1,32,12,64,2.5,6,0.3,0.93,100.1,1.8,293
1,32,12,64,2.5,6,0.3,0.97,110.2,0,308
1,32,12,64,3,6,0.25,0.61,0,10.5,138
1,32,12,64,3,6,0.25,0.68,25,9.7,178
1,32,12,64,3,6,0.25,0.75,50,8,211
1,32,12,64,3,6,0.25,0.83,75,5.3,248
1,32,12,64,3,6,0.25,0.92,100.1,1.4,285
1,32,12,64,3,6,0.25,0.95,109.2,0,297
1,32,12,64,3,6,0.3,0.6,0,10.4,137
1,32,12,64,3,6,0.3,0.67,25,9.6,175
1,32,12,64,3,6,0.3,0.73,50.1,8.1,209
1,32,12,64,3,6,0.3,0.81,75.1,5.2,245
1,32,12,64,3,6,0.3,0.9,100,1.4,283
1,32,12,64,3,6,0.3,0.94,108.2,0,295
1,31,12,64,3,6,0.25,0.61,0,10.6,141
1,31,12,64,3,6,0.25,0.69,25,9.9,181
1,31,12,64,3,6,0.25,0.75,50,8.1,212
1,31,12,64,3,6,0.25,0.83,75,5.5,248
1,31,12,64,3,6,0.25,0.91,100,2,285
1,31,12,64,3,6,0.25,0.94,110.6,0,300
1,31,12,64,3,6,0.3,0.6,0,10.5,140
1,31,12,64,3,6,0.3,0.67,25.1,9.9,180
1,31,12,64,3,6,0.3,0.74,50,8.1,210
1,31,12,64,3,6,0.3,0.82,75.1,5.4,246
1,31,12,64,3,6,0.3,0.9,100,1.9,284
1,31,12,64,3,6,0.3,0.94,109.2,0,299
1,33,13,62,2.5,6,0.25,0.57,0,10.3,123
1,33,13,62,2.5,6,0.25,0.64,25,9.4,165
1,33,13,62,2.5,6,0.25,0.72,50,7.8,198
1,33,13,62,2.5,6,0.25,0.8,75,5,237
1,33,13,62,2.5,6,0.25,0.8,100,1,271
1,33,13,62,2.5,6,0.25,0.9,107.3,0,279
1,33,13,62,2.5,6,0.3,0.56,0,10.2,121
1,33,13,62,2.5,6,0.3,0.63,25,9.4,163
1,33,13,62,2.5,6,0.3,0.7,50,7.7,197
1,33,13,62,2.5,6,0.3,0.78,75,5,235
1,33,13,62,2.5,6,0.3,0.87,100,0.9,270
1,33,13,62,2.5,6,0.3,0.88,106.3,0,277
1,33,13,62,3,6,0.25,0.58,0,10.4,125
1,33,13,62,3,6,0.25,0.66,25,9.5,168
1,33,13,62,3,6,0.25,0.72,50,7.8,200
1,33,13,62,3,6,0.25,0.82,75,5.1,240
1,33,13,62,3,6,0.25,0.91,100,0.9,278
1,33,13,62,3,6,0.25,0.92,107.1,0,286
1,33,13,62,3,6,0.3,0.57,0,10.4,122
1,33,13,62,3,6,0.3,0.64,25,9.5,165
1,33,13,62,3,6,0.3,0.71,50,7.8,199
1,33,13,62,3,6,0.3,0.8,75,5,238
1,33,13,62,3,6,0.3,0.89,100,0.9,276
1,33,13,62,3,6,0.3,0.9,106.6,0,284
1,34,13,63,2.5,6,0.25,0.59,0,10.3,134
1,34,13,63,2.5,6,0.25,0.67,25,9.3,166
1,34,13,63,2.5,6,0.25,0.73,50,7.5,203
1,34,13,63,2.5,6,0.25,0.82,75.1,4.5,241
1,34,13,63,2.5,6,0.25,0.89,100.1,0.5,273
1,34,13,63,2.5,6,0.25,0.89,105.1,0,279
1,34,13,63,2.5,6,0.3,0.58,0,10.3,132
1,34,13,63,2.5,6,0.3,0.65,25,9.3,165
1,34,13,63,2.5,6,0.3,0.72,50,7.5,202
1,34,13,63,2.5,6,0.3,0.8,75.1,4.5,239
1,34,13,63,2.5,6,0.3,0.88,100.1,0.4,272
1,34,13,63,2.5,6,0.3,0.89,104.3,0,276
1,34,13,64,2.5,6,0.25,0.59,0,10.5,135
1,34,13,64,2.5,6,0.25,0.65,25,9.6,165
1,34,13,64,2.5,6,0.25,0.73,50.1,8.1,199
1,34,13,64,2.5,6,0.25,0.82,75.2,5.2,238
1,34,13,64,2.5,6,0.25,0.9,100.1,1.1,276
1,34,13,64,2.5,6,0.25,0.93,108.1,0,284
1,34,13,64,2.5,6,0.3,0.57,0,10.5,122
1,34,13,64,2.5,6,0.3,0.64,25,9.6,163
1,34,13,64,2.5,6,0.3,0.71,50,8,198
1,34,13,64,2.5,6,0.3,0.79,75,5.1,236
1,34,13,64,2.5,6,0.3,0.88,100,1,274
1,34,13,64,2.5,6,0.3,0.9,107,0,281
1,34,13,64,3,6,0.25,0.58,0,10.5,125
1,34,13,64,3,6,0.25,0.65,25.1,9.6,137
1,34,13,64,3,6,0.25,0.73,50.1,8.1,200
1,34,13,64,3,6,0.25,0.8,70.1,5.2,236
1,34,13,64,3,6,0.25,0.88,100,1.1,276
1,34,13,64,3,6,0.25,0.9,107.7,0,283
1,34,13,64,3,6,0.3,0.57,0,10.5,124
1,34,13,64,3,6,0.3,0.64,25,9.6,164
1,34,13,64,3,6,0.3,0.71,50,8.1,199
1,34,13,64,3,6,0.3,0.79,75,5.2,235
1,34,13,64,3,6,0.3,0.88,100,1,273
1,34,13,64,3,6,0.3,0.9,106.8,0,282
1,34,13,63,3,6,0.25,0.6,0,10.5,135
1,34,13,63,3,6,0.25,0.67,25.1,9.7,175
1,34,13,63,3,6,0.25,0.73,50.1,8,205
1,34,13,63,3,6,0.25,0.81,75,4.9,243
1,34,13,63,3,6,0.25,0.9,100.1,1,280
1,34,13,63,3,6,0.25,0.92,107.9,0,289
1,34,13,63,3,6,0.3,0.59,0,10.5,134
1,34,13,63,3,6,0.3,0.66,25,9.7,173
1,34,13,63,3,6,0.3,0.72,50,7.9,204
1,34,13,63,3,6,0.3,0.8,75.1,4.9,242
1,34,13,63,3,6,0.3,0.89,100.1,1,279
1,34,13,63,3,6,0.3,0.91,107,0,287
1,34,13,67,3,6,0.25,0.63,0,10.7,145
1,34,13,67,3,6,0.25,0.71,25.1,10,185
1,34,13,67,3,6,0.25,0.78,50,8.4,220
1,34,13,67,3,6,0.25,0.88,75.1,5.6,259
1,34,13,67,3,6,0.25,0.96,100,1.9,299
1,34,13,67,3,6,0.25,0.99,111.8,0,313
1,34,13,67,3,6,0.3,0.62,0,10.7,143
1,34,13,67,3,6,0.3,0.7,25,10,184
1,34,13,67,3,6,0.3,0.77,50,8.3,219
1,34,13,67,3,6,0.3,0.86,75,5.6,258
1,34,13,67,3,6,0.3,0.95,100.1,1.9,298
1,34,13,67,3,6,0.3,0.99,111.1,0,313
1,34,13,70,3,6,0.25,0.63,0,10.5,144
1,34,13,70,3,6,0.25,0.7,25,9.8,185
1,34,13,70,3,6,0.25,0.77,50.1,8.1,217
1,34,13,70,3,6,0.25,0.85,75.1,5.4,254
1,34,13,70,3,6,0.25,0.94,100,1.4,290
1,34,13,70,3,6,0.25,0.95,109.5,0,301
1,34,13,70,3,6,0.3,0.62,0,10.5,143
1,34,13,70,3,6,0.3,0.69,25.1,9.8,184
1,34,13,70,3,6,0.3,0.76,50,8,216
1,34,13,70,3,6,0.3,0.84,75,5.4,253
1,34,13,70,3,6,0.3,0.93,100.1,1.4,289
1,34,13,70,3,6,0.3,0.95,108.8,0,300
1,34,13.5,63,2.5,6,0.25,0.58,0,10.3,133
1,34,13.5,63,2.5,6,0.25,0.66,25,9.3,165
1,34,13.5,63,2.5,6,0.25,0.73,50,7.6,203
1,34,13.5,63,2.5,6,0.25,0.81,75.1,4.6,241
1,34,13.5,63,2.5,6,0.25,0.89,100,0.5,274
1,34,13.5,63,2.5,6,0.25,0.91,105.1,0,278
1,34,13.5,63,2.5,6,0.3,0.58,0,10.3,132
1,34,13.5,63,2.5,6,0.3,0.65,25,9.3,165
1,34,13.5,63,2.5,6,0.3,0.72,50,7.5,202
1,34,13.5,63,2.5,6,0.3,0.8,75.1,4.5,239
1,34,13.5,63,2.5,6,0.3,0.88,100.1,0.4,272
1,34,13.5,63,2.5,6,0.3,0.89,104.3,0,276
1,34,13.5,63,3,6,0.25,0.58,0,10.2,122
1,34,13.5,63,3,6,0.25,0.65,25,9.2,162
1,34,13.5,63,3,6,0.25,0.71,50,7.5,195
1,34,13.5,63,3,6,0.25,0.79,75,4.5,232
1,34,13.5,63,3,6,0.25,0.88,100,0,266
1,34,13.5,63,3,6,0.25,0.88,104.4,0,271
1,34,13.5,63,3,6,0.3,0.57,0,10.2,121
1,34,13.5,63,3,6,0.3,0.64,25,9.2,161
1,34,13.5,63,3,6,0.3,0.7,50,7.5,194
1,34,13.5,63,3,6,0.3,0.78,75,4.5,231
1,34,13.5,63,3,6,0.3,0.87,100,0,266
1,34,13.5,63,3,6,0.3,0.88,103.6,0,270
1,34,13.5,64,2.5,6,0.25,0.58,0,10.5,124
1,34,13.5,64,2.5,6,0.25,0.64,25.1,9.8,166
1,34,13.5,64,2.5,6,0.25,0.72,50,8.1,201
1,34,13.5,64,2.5,6,0.25,0.8,75.1,5.3,240
1,34,13.5,64,2.5,6,0.25,0.89,100,1.2,275
1,34,13.5,64,2.5,6,0.25,0.91,108.4,0,285
1,34,13.5,64,2.5,6,0.3,0.57,0,10.5,123
1,34,13.5,64,2.5,6,0.3,0.64,25,9.7,165
1,34,13.5,64,2.5,6,0.3,0.71,50,8,200
1,34,13.5,64,2.5,6,0.3,0.8,75,5.3,239
1,34,13.5,64,2.5,6,0.3,0.88,100,1.2,274
1,34,13.5,64,2.5,6,0.3,0.9,107.2,0,283
1,34,14,62,2.5,6,0.25,0.58,0,10.5,126
1,34,14,62,2.5,6,0.25,0.65,25,9.8,169
1,34,14,62,2.5,6,0.25,0.73,50,8.2,204
1,34,14,62,2.5,6,0.25,0.82,75,5.5,245
1,34,14,62,2.5,6,0.25,0.91,100,1.5,283
1,34,14,62,2.5,6,0.25,0.93,109.8,0,296
1,34,14,62,2.5,6,0.3,0.57,0,10.5,125
1,34,14,62,2.5,6,0.3,0.65,25.1,9.8,168
1,34,14,62,2.5,6,0.3,0.72,50,8.2,203
1,34,14,62,2.5,6,0.3,0.81,75.1,5.4,243
1,34,14,62,2.5,6,0.3,0.9,100,1.5,282
1,34,14,62,2.5,6,0.3,0.93,109.1,0,294
1,34,14,62,3,6,0.2,0.58,0,10.5,125
1,34,14,62,3,6,0.2,0.65,25,9.5,164
1,34,14,62,3,6,0.2,0.72,50,8,200
1,34,14,62,3,6,0.2,0.82,75,5,238
1,34,14,62,3,6,0.2,0.9,100,1.1,279
1,34,14,62,3,6,0.2,0.93,108.1,0,285
1,34,14,62,3,6,0.28,0.57,0,10.5,123
1,34,14,62,3,6,0.28,0.64,25.1,9.4,163
1,34,14,62,3,6,0.28,0.71,50,7.9,199
1,34,14,62,3,6,0.28,0.8,75,5,237
1,34,14,62,3,6,0.28,0.89,100,1,276
1,34,14,62,3,6,0.28,0.91,106.8,0,284
1,34,14,62,3,6,0.25,0.58,0,10.4,125
1,34,14,62,3,6,0.25,0.65,25,9.5,165
1,34,14,62,3,6,0.25,0.72,50,7.9,201
1,34,14,62,3,6,0.25,0.81,75,4.8,238
1,34,14,62,3,6,0.25,0.9,100,0.9,277
1,34,14,62,3,6,0.25,0.92,106.8,0,285
1,34,14,62,3,6,0.3,0.57,0,10.4,124
1,34,14,62,3,6,0.3,0.64,25,9.5,164
1,34,14,62,3,6,0.3,0.71,50,7.8,200
1,34,14,62,3,6,0.3,0.8,75,4.8,237
1,34,14,62,3,6,0.3,0.88,100,0.8,276
1,34,14,62,3,6,0.3,0.9,105.9,0,282
1,34,14,63,2.5,6,0.25,0.58,0,10.4,125
1,34,14,63,2.5,6,0.25,0.65,25,9.6,168
1,34,14,63,2.5,6,0.25,0.73,50,8.1,202
1,34,14,63,2.5,6,0.25,0.8,751,5.1,240
1,34,14,63,2.5,6,0.25,0.89,100,1.2,276
1,34,14,63,2.5,6,0.25,0.91,108.2,0,286
1,34,14,63,2.5,6,0.3,0.57,0,10.4,124
1,34,14,63,2.5,6,0.3,0.64,25,9.6,166
1,34,14,63,2.5,6,0.3,0.71,50,8,201
1,34,14,63,2.5,6,0.3,0.79,75,5.1,239
1,34,14,63,2.5,6,0.3,0.88,100,1.1,275
1,34,14,63,2.5,6,0.3,0.9,107.4,0,284
1,35,14,64,2.5,6,0.25,0.58,0,10.6,123
1,35,14,64,2.5,6,0.25,0.64,25,9.8,168
1,35,14,64,2.5,6,0.25,0.72,50.1,8.2,201
1,35,14,64,2.5,6,0.25,0.81,75,5.4,239
1,35,14,64,2.5,6,0.25,0.9,100,1.5,279
1,35,14,64,2.5,6,0.25,0.93,109.1,0,291
1,35,14,64,2.5,6,0.3,0.57,0,10.6,122
1,35,14,64,2.5,6,0.3,0.64,25,9.8,167
1,35,14,64,2.5,6,0.3,0.71,50.1,8.2,200
1,35,14,64,2.5,6,0.3,0.8,75.1,5.4,239
1,35,14,64,2.5,6,0.3,0.89,100.1,1.4,278
1,35,14,64,2.5,6,0.3,0.92,108.4,0,289
1,34.6,14,64,3,6,0.25,0.58,0,10.4,128
1,34.6,14,64,3,6,0.25,0.65,25,9.4,166
1,34.6,14,64,3,6,0.25,0.73,50,8,202
1,34.6,14,64,3,6,0.25,0.81,75,5.1,240
1,34.6,14,64,3,6,0.25,0.9,100,0.9,277
1,34.6,14,64,3,6,0.25,0.91,106.3,0,285
1,34.6,14,64,3,6,0.3,0.58,0,10.4,127
1,34.6,14,64,3,6,0.3,0.65,25.1,9.4,166
1,34.6,14,64,3,6,0.3,0.72,50,8,201
1,34.6,14,64,3,6,0.3,0.8,75,5,239
1,34.6,14,64,3,6,0.3,0.89,100,0.8,276
1,34.6,14,64,3,6,0.3,0.9,105.7,0,283
1,35,14,64,2,6,0.25,0.6,0,10.1,129
1,35,14,64,2,6,0.25,0.7,25,9.4,162
1,35,14,64,2,6,0.25,0.7,50,7.5,200
1,35,14,64,2,6,0.25,0.8,75,4.6,237
1,35,14,64,2,6,0.25,0.9,100,0.6,273
1,35,14,64,2,6,0.25,0.9,105.2,0,280
1,35,14,64,2,6,0.3,0.58,0,10.1,128
1,35,14,64,2,6,0.3,0.64,25,9.4,162
1,35,14,64,2,6,0.3,0.71,50,7.5,199
1,35,14,64,2,6,0.3,0.79,75,4.6,236
1,35,14,64,2,6,0.3,0.87,100.1,0.5,272
1,35,14,64,2,6,0.3,0.89,104.3,0,278
1,35,14,65,2.5,6,0.25,0.58,0,10.4,126
1,35,14,65,2.5,6,0.25,0.65,25,9.6,166
1,35,14,65,2.5,6,0.25,0.72,50,8.1,200
1,35,14,65,2.5,6,0.25,0.8,75,5.1,239
1,35,14,65,2.5,6,0.25,0.86,100,1,277
1,35,14,65,2.5,6,0.25,0.92,107.4,0,286
1,35,14,65,2.5,6,0.3,0.57,0,10.4,125
1,35,14,65,2.5,6,0.3,0.64,25,9.6,165
1,35,14,65,2.5,6,0.3,0.71,50.1,8,199
1,35,14,65,2.5,6,0.3,0.79,75,5.1,237
1,35,14,65,2.5,6,0.3,0.85,100,0.9,275
1,35,14,65,2.5,6,0.3,0.91,106.3,0,284
1,35,14,66,2.5,6,0.25,0.58,0,10.3,126
1,35,14,66,2.5,6,0.25,0.65,25,9.5,164
1,35,14,66,2.5,6,0.25,0.71,50,7.7,197
1,35,14,66,2.5,6,0.25,0.8,75,4.8,235
1,35,14,66,2.5,6,0.25,0.88,100,0.6,271
1,35,14,66,2.5,6,0.25,0.89,104.8,0,276
1,35,14,66,2.5,6,0.3,0.57,0,10.3,126
1,35,14,66,2.5,6,0.3,0.64,25,9.5,163
1,35,14,66,2.5,6,0.3,0.7,50,7.7,196
1,35,14,66,2.5,6,0.3,0.79,75,4.7,234
1,35,14,66,2.5,6,0.3,0.87,100,0.5,269
1,35,14,66,2.5,6,0.3,0.88,104,0,274
1,35,15,64,2.5,6,0.25,0.59,0,1.5,124
1,35,15,64,2.5,6,0.25,0.65,25,9.7,166
1,35,15,64,2.5,6,0.25,0.72,50,8.1,201
1,35,15,64,2.5,6,0.25,0.79,75,5.1,240
1,35,15,64,2.5,6,0.25,0.9,100,1,279
1,35,15,64,2.5,6,0.25,0.91,107.3,0,287
1,35,15,64,2.5,6,0.3,0.57,0,10.5,123
1,35,15,64,2.5,6,0.3,0.64,25,9.7,165
1,35,15,64,2.5,6,0.3,0.71,50,8.1,201
1,35,15,64,2.5,6,0.3,0.78,75,5.2,239
1,35,15,64,2.5,6,0.3,0.89,100,1,278
1,35,15,64,2.5,6,0.3,0.91,106.8,0,285
1,35,16,66,2,6,0.25,0.61,0,10.2,129
1,35,16,66,2,6,0.25,0.63,25,9.5,165
1,35,16,66,2,6,0.25,0.73,50,7.6,201
1,35,16,66,2,6,0.25,0.82,75,4.6,241
1,35,16,66,2,6,0.25,0.89,100,0.6,276
1,35,16,66,2,6,0.25,0.91,105,0,284
1,35,16,66,2,6,0.3,0.6,0,10.2,127
1,35,16,66,2,6,0.3,0.6,25,9.4,163
1,35,16,66,2,6,0.3,0.7,50,7.5,199
1,35,16,66,2,6,0.3,0.8,75,4.6,240
1,35,16,66,2,6,0.3,0.88,100,0.5,276
1,35,16,66,2,6,0.3,0.89,104.2,0,281
1,36,17,64,2.5,6,0.25,0.61,0,10.5,131
1,36,17,64,2.5,6,0.25,0.67,25,9.7,172
1,36,17,64,2.5,6,0.25,0.75,50,8.3,209
1,36,17,64,2.5,6,0.25,0.83,75,5.4,246
1,36,17,64,2.5,6,0.25,0.92,100,1.4,285
1,36,17,64,2.5,6,0.25,0.93,108.6,0,295
1,36,17,64,2.5,6,0.3,0.57,0,10.5,128
1,36,17,64,2.5,6,0.3,0.65,25,9.8,169
1,36,17,64,2.5,6,0.3,0.72,50,8.2,206
1,36,17,64,2.5,6,0.3,0.8,75,5.4,243
1,36,17,64,2.5,6,0.3,0.9,100,1.3,284
1,36,17,64,2.5,6,0.3,0.92,107.4,0,292
